,Cp,Ct,Ce,Rate
0,1.4071257801860282,4,0.0,6.0084270813943395
1,2.7966661549464504,4,0.010694155929413812,6.0084270813943395
2,4.168845687034958,4,0.03186754312194329,6.0084270813943395
3,5.523886067065323,4,0.0633085770156822,6.0084270813943395
4,6.862006150250384,4,0.10480896594005945,6.0084270813943395
5,8.183421992671066,4,0.1561636645408179,6.0084270813943395
6,9.488346887081475,4,0.21717082783460778,6.0084270813943395
7,10.776991398255975,4,0.2876317658848839,6.0084270813943395
8,12.049563397884125,4,0.3673508990909042,6.0084270813943395
9,13.306268099019254,4,0.4561357140817327,6.0084270813943395
10,13.140182309900352,4,0.5537967202072578,0.0
11,12.976217213508656,4,0.6494532506889252,0.0
12,12.814345686548126,4,0.7431366568063551,0.0
13,12.654540952670173,4,0.8348778454323925,0.0
14,12.496776578035638,4,0.9247072850473996,0.0
15,12.341026466933535,4,1.0126550116741104,0.0
16,12.187264857455851,4,1.0987506347340819,0.0
17,12.03546631722766,4,1.1830233428267674,0.0
18,11.885605739191858,4,1.265501909432214,0.0
19,11.737658337447822,4,1.3462146985383874,0.0
20,11.5915996431433,4,1.425189670194099,0.0
21,11.447405500418842,4,1.5024543859885127,0.0
22,11.305052062404119,4,1.578036014458183,0.0
23,11.164515787265447,4,1.6519613364225723,0.0
24,11.025773434303874,4,1.7242567502489778,0.0
25,10.88880206010318,4,1.794948277047795,0.0
26,10.75357901472715,4,1.8640615657990156,0.0
27,10.620081937965484,4,1.9316218984108695,0.0
28,10.488288755627735,4,1.997654194711484,0.0
29,10.35817767588465,4,2.0621830173744473,0.0
30,10.22972718565632,4,2.125232576779125,0.0
31,10.102916047046506,4,2.1868267358065916,0.0
32,9.977723293822613,4,2.246989014572015,0.0
33,9.854128227940667,4,2.305742595094319,0.0
34,9.732110416114734,4,2.363110325903951,0.0
35,9.611649686430257,4,2.419114726589553,0.0
36,9.49272612500067,4,2.4737779922843424,0.0
37,9.37532007266682,4,2.527121998092986,0.0
38,9.259412121738585,4,2.5791683034597472,0.0
39,9.144983112778172,4,2.629938156478666,0.0
40,9.032014131424578,4,2.6794524981465426,0.0
41,8.92048650525865,4,2.7277319665594555,0.0
42,8.810381800708258,4,2.77479690105357,0.0
43,8.701681819993071,4,2.820667346290945,0.0
44,8.594368598108375,4,2.865363056291081,0.0
45,8.488424399847508,4,2.9089034984088924,0.0
46,8.383831716862376,4,2.9513078572598253,0.0
47,8.280573264761548,4,2.9925950385928046,0.0
48,8.178631980245505,4,3.032783673111687,0.0
49,8.07799101827851,4,3.071892120245904,0.0
50,7.978633749296657,4,3.1099384718709517,0.0
51,7.880543756451643,4,3.146940555979387,0.0
52,7.783704832889788,4,3.1829159403029763,0.0
53,7.688100979065872,4,3.2178819358866355,0.0
54,7.593716400091309,4,3.2518556006147974,0.0
55,7.500535503116274,4,3.284853742690819,0.0
56,7.408542894745291,4,3.316892924070052,0.0
57,7.31772337848589,4,3.347989463847184,0.0
58,7.228061952229905,4,3.378159441598438,0.0
59,7.139543805766981,4,3.4074187006792367,0.0
60,7.052154318329887,4,3.435782851477904,0.0
61,6.9658790561712385,4,3.4632672746259785,0.0
62,6.88070377017121,4,3.489887124165722,0.0
63,6.796614393475847,4,3.5156573306753636,0.0
64,6.713597039165594,4,3.540592604352647,0.0
65,6.631637997953646,4,3.5647074380572255,0.0
66,6.5507237359137305,4,3.588016110312438,0.0
67,6.470840892236972,4,3.610532688267007,0.0
68,6.391976277017434,4,3.632271030617179,0.0
69,6.314116869066002,4,3.6532447904898206,0.0
70,6.237249813752214,4,3.6734674182869997,0.0
71,6.161362420873715,4,3.692952164492535,0.0
72,6.0864421625529515,4,3.711712082441032,0.0
73,6.012476671160778,4,3.729760031049883,0.0
74,5.93945373726662,4,3.747108677514725,0.0
75,5.867361307614857,4,3.7637704999688397,0.0
76,5.7961874831271,4,3.7797577901069492,0.0
77,5.725920516930008,4,3.7950826557739026,0.0
78,5.656548812408345,4,3.809757023518688,0.0
79,5.588060921282938,4,3.8237926411142493,0.0
80,5.520445541713216,4,3.837201080043531,0.0
81,5.453691516424025,4,3.84999373795222,0.0
82,5.387787830856407,4,3.862181841068605,0.0
83,5.322723611342026,4,3.8737764465909925,0.0
84,5.258488123300952,4,3.8847884450431,0.0
85,5.195070769462498,4,3.8952285625978593,0.0
86,5.132461088108809,4,3.905107363370031,0.0
87,5.070648751340932,4,3.9144352516780456,0.0
88,5.009623563367044,4,3.9232224742754833,0.0
89,4.949375458812603,4,3.931479122552579,0.0
90,4.8898945010520904,4,3.939215134708155,0.0
91,4.831170880562113,4,3.9464402978923694,0.0
92,4.773194913295557,4,3.95316425032066,0.0
